Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
19124,Alexander Fleming - Belvédère,OUI,31,25,6,1,5,OUI,OUI,2020-05-29T10:42:38Z,"48.881790642,2.40305993776",Paris,NA
14113,Santé - Arago,OUI,38,12,26,19,7,OUI,OUI,2020-05-29T10:43:11Z,"48.8350765756,2.3415737262",Paris,NA
15060,Place de la Montagne du Goulet,OUI,21,6,14,11,3,OUI,OUI,2020-05-29T10:36:03Z,"48.8443415,2.2773844",Paris,NA
5029,Georges Bernanos - Port Royal,OUI,30,8,21,16,5,OUI,OUI,2020-05-29T10:43:31Z,"48.8401452135,2.33735740185",Paris,NA
6024,Saint-Germain-des-Prés,OUI,26,4,22,16,6,OUI,OUI,2020-05-29T10:41:26Z,"48.8541851082,2.33030587435",Paris,NA
10153,Gare du Nord - Denain,OUI,20,18,2,2,0,OUI,OUI,2020-05-29T10:39:24Z,"48.8795957876,2.35447257757",Paris,NA
16101,Malakoff - Place de la Porte Maillot,OUI,31,31,0,0,0,NON,NON,2020-03-01T21:53:17Z,"48.8767334966,2.28345774114",Paris,NA
20009,Docteurs Déjérine - Pte de Montreuil,OUI,20,10,10,4,6,OUI,OUI,2020-05-29T10:43:05Z,"48.8539844813,2.41208288897",Paris,NA
13033,Porte d'Italie,OUI,13,11,2,0,2,OUI,OUI,2020-05-29T10:38:20Z,"48.8171619877,2.36023630947",Paris,NA
43001,Paris - Laitières,OUI,22,14,8,7,1,OUI,OUI,2020-05-29T10:42:58Z,"48.8463027415,2.42075532675",Vincennes,NA
15004,Vaugirard - Pasteur,OUI,21,6,14,7,7,OUI,OUI,2020-05-29T10:38:47Z,"48.840408688,2.3154367134",Paris,NA
17108,Bessières - Porte de Clichy,OUI,33,23,10,6,4,OUI,OUI,2020-05-29T10:40:07Z,"48.8961176245,2.31790903956",Paris,NA
15311,Quai du Président Roosevelt - Pont Aval,OUI,30,20,10,9,1,OUI,OUI,2020-05-29T10:41:42Z,"48.8343883676,2.26568207145",Paris,NA
12005,Crozatier - Faubourg Saint-Antoine,OUI,29,8,20,20,0,OUI,OUI,2020-05-29T10:43:18Z,"48.8504400134,2.37890136621",Paris,NA
21501,Pont de Suresnes,OUI,52,24,28,18,10,OUI,OUI,2020-05-29T10:39:49Z,"48.8674150923,2.22589466796",Suresnes,NA
